🦆,Song,Artist,Score,Year,F. Genre(s),B. Genre(s),All descriptors,Comments,BM,Language,Alt. Song Name(s),Alt. Artist Name(s),Notes,Attributes,Owned,Mixtape(s),Added,Conc,ID,Count,A+C,D#,Y#,CI,BC,TC
✓,Bang!,AJR,3.3,2020,Electropop,Electropop; Electronic; Pop,INC; catchy; anthemic; energetic; fight song; introspective; fun; party,,,English,,,,,,,7/30/2024,AJR - Bang!,,10707,2024-07-30 10707,,,,#434343,#e06666
✓,Sober Up,AJR; ft. Rivers Cuomo,3.5,2017,Stomp and Holler; Pop Rock; Indie Pop; Folk Pop,Stomp and Holler; Pop Rock; Indie Pop; Folk Pop; Indie Folk; Contemporary Folk,INC; anthemic; nostalgic; bittersweet; uplifting; energetic; sulking,,,English,,,,,,,7/30/2024,AJR; ft. Rivers Cuomo - Sober Up,,10708,2024-07-30 10708,,,,#741b47,#ffd966
✓,The Good Part,AJR,3.4,2017,Indie Pop,Indie Pop,INC; bittersweet; resolute; sulking; lush,,,English,,,,,,,7/30/2024,AJR - The Good Part,,10709,2024-07-30 10709,,,,#741b47,#ffd966
✓,Weak,AJR,3.3,2016,Electropop,Electropop; Electronic; Pop,INC; dense; anthemic; catchy; uplifting; resolute; optimistic; bittersweet; passionate; noisy; introspective,,,English,,,,,,,7/30/2024,AJR - Weak,,10710,2024-07-30 10710,,,,#741b47,#ffd966
✓,Burn the House Down,AJR,3.4,2018,Electropop,Electropop; Electronic; Pop,INC; fun; party; energetic; Summer; resolute; fight song; political; protest,,,English,,,,,,,7/30/2024,AJR - Burn the House Down,,10711,2024-07-30 10711,,,,#741b47,#b4a7d6
✓,Holiday,Vampire Weekend,3.4,2010,Indie Pop; Indie Rock,Indie Pop; Indie Rock; Alternative Rock,INC; Summer; twee; tropical; sunny day; fun; catchy; celebration; anthemic; lush,,,English,,,Seen live,,,,7/30/2024,Vampire Weekend - Holiday,,10712,2024-07-30 10712,,,,#ead1dc,#000000
✓,California English,Vampire Weekend,3.3,2010,Indietronica; Indie Pop,Indietronica; Indie Pop; Electronic,INC; fun; quirky; Summer; sunny day; energetic; lush,,,English,,,,,,,7/30/2024,Vampire Weekend - California English,,10713,2024-07-30 10713,,,,#ead1dc,#000000
✓,Run,Vampire Weekend,3.3,2010,Indietronica; Indie Pop,Indietronica; Indie Pop; Electronic,INC; lush; sunny day; fun; energetic; uplifting; adventure; Summer,,,English,,,,,,,7/30/2024,Vampire Weekend - Run,,10714,2024-07-30 10714,,,,#ead1dc,#000000
✓,Cousins,Vampire Weekend,3.3,2010,Indie Rock; Post-Punk Revival; Indie Surf; Indie Pop,Indie Rock; Post-Punk Revival; Indie Surf; Indie Pop; Alternative Rock; Surf Music,INC; manic; energetic; quirky; fun; humorous; fight song; dense,,,English,,,Seen live,,,,7/30/2024,Vampire Weekend - Cousins,,10715,2024-07-30 10715,,,,#ead1dc,#000000
✓,Diplomat's Son,Vampire Weekend,3.3,2010,Indie Pop; Art Pop,Indie Pop; Art Pop,INC; LGBT; lush,,,English,,,,,,,7/30/2024,Vampire Weekend - Diplomat's Son,,10716,2024-07-30 10716,,,,#ead1dc,#000000
✓,Giant (Bonus Track),Vampire Weekend,3.3,2010,Art Pop; Indie Pop; Indietronica,Art Pop; Indie Pop; Indietronica; Electronic,INC; lush; Summer; celebration; sunny day,,,English,,,,,,,7/30/2024,Vampire Weekend - Giant (Bonus Track),,10717,2024-07-30 10717,,,,#ead1dc,#000000
✓,Prep-School Gangsters,Vampire Weekend,3.3,2024,Indie Surf; Indie Pop,Indie Surf; Indie Pop; Indie Rock; Surf Music; Alternative Rock,INC; conscious; adventure,,,English,,,,,,,7/30/2024,Vampire Weekend - Prep-School Gangsters,,10718,2024-07-30 10718,,,,#a2c4c9,#000000
✓,Youth,Glass Animals,3.5,2016,Alt-Pop; Indietronica,Alt-Pop; Indietronica; Electronic,INC; nostalgic; Summer; anthemic; bittersweet; uplifting; lush,,,English,,,,,,,7/31/2024,Glass Animals - Youth,,10719,2024-07-31 10719,,,,#ff9900,#000000
✓,Way Less Sad,AJR,3.3,2021,Electropop,Electropop; Electronic; Pop,INC; triumphant; celebration; anthemic; catchy; uplifting; bittersweet; resolute; sunny day,,,English,,,,,,,7/31/2024,AJR - Way Less Sad,,10720,2024-07-31 10720,,,,#434343,#e06666
✓,Bummerland,AJR,3.3,2020,Electropop; Pop Rock,Electropop; Pop Rock; Electronic,INC; Summer; anthemic; bittersweet; lonely; energetic; catchy; melancholic; sulking,,,English,,,,,,,7/31/2024,AJR - Bummerland,,10721,2024-07-31 10721,,,,#434343,#e06666
✓,Never Gonna Be Alone,Jacob Collier; ft. Lizzy McAlpine; ft. John Mayer,3.5,2022,Neo-Soul,Neo-Soul; R&B,soft; soothing; low energy; calm; peaceful; relaxation; sunset; morning; sunny day; twee; uplifting; optimistic; celebration; poetic; introspective; ballad; happy; resolute; nostalgic; love; passionate; lush; ethereal; pastoral; Spring; Summer; Autumn; Winter; Christmas; sparse,,,English,,,,,,,7/31/2024,Jacob Collier; ft. Lizzy McAlpine; ft. John Mayer - Never Gonna Be Alone,,10722,2024-07-31 10722,,,,#fff2cc,#ff6700
✓,You've Got Everything Now,Smiths,3.3,1984,Jangle Pop; Indie Pop; Post-Punk,Jangle Pop; Indie Pop; Post-Punk; Pop Rock; Alternative Rock,INC; melancholic; sulking; sad; bittersweet; lonely; angry,,,English,,,,,,,7/31/2024,Smiths - You've Got Everything Now,,10723,2024-07-31 10723,,,,#741b47,#ead1dc
✓,Still Ill,Smiths,3.3,1984,Jangle Pop; Post-Punk; Indie Pop; Indie Rock; New Wave,Jangle Pop; Post-Punk; Indie Pop; Indie Rock; New Wave; Pop Rock; Alternative Rock,INC; nostalgic; melancholic; sulking; love,,,English,,,,,,,7/31/2024,Smiths - Still Ill,,10724,2024-07-31 10724,,,,#741b47,#ead1dc
✓,I Don't Owe You Anything,Smiths,3.3,1984,Jangle Pop; Indie Pop; Soft Rock,Jangle Pop; Indie Pop; Soft Rock; Pop Rock; Alternative Rock,INC; soft; melancholic; low energy; urban night,,,English,,,,,,,7/31/2024,Smiths - I Don't Owe You Anything,,10725,2024-07-31 10725,,,,#741b47,#ead1dc
✓,Suffer Little Children,Smiths,3.3,1984,Jangle Pop; Indie Pop,Jangle Pop; Indie Pop; Pop Rock; Alternative Rock,INC; crime; death; dark; disturbing; angry; ominous; somber; sulking,,,English,,,,,,,7/31/2024,Smiths - Suffer Little Children,,10726,2024-07-31 10726,,,,#741b47,#ead1dc
✓,Pool House,Backseat Lovers,3.3,2019,Indie Rock,Indie Rock; Alternative Rock,INC; melancholic; bittersweet; sulking; lonely; introspective,,,English,,,,,,,8/1/2024,Backseat Lovers - Pool House,,10727,2024-08-01 10727,,,,#a8fa83,#000000
✓,Maple Syrup,Backseat Lovers,3.3,2019,Indie Rock; Indie Pop,Indie Rock; Indie Pop; Alternative Rock,INC; nostalgic; passionate; sulking; melancholic; bittersweet,,,English,,,,,,,8/2/2024,Backseat Lovers - Maple Syrup,,10728,2024-08-02 10728,,,,#a8fa83,#000000
✓,Get Old Forever,Jeff Rosenstock,3.4,2015,Indie Rock; Pop Punk,Indie Rock; P0p Punk; Alternative Rock; Punk Rock,INC; sulking; energetic; sad; melancholic; pessimistic; lonely; anthemic; fight song; passionate; introspective; dense; noisy,,,English,,,,,,,8/2/2024,Jeff Rosenstock - Get Old Forever,,10729,2024-08-02 10729,,,,#d9ead3,#000000
✓,Beers Again Alone,Jeff Rosenstock,3.4,2015,Alt-Country; Indie Rock,Alt-Country; Indie Rock; Northern American Music; Regional Music; Alternative Rock,INC; lonely; sulking; melancholic; sunset; night; sad; passionate; anthemic; introspective; dense,,,English,,,,,,,8/2/2024,Jeff Rosenstock - Beers Again Alone,,10730,2024-08-02 10730,,,,#d9ead3,#000000
✓,"I'm Serious, I'm Sorry",Jeff Rosenstock,3.3,2015,Power Pop; Emo; Alternative Rock,Power Pop; Emo; Alternative Rock; Pop Rock; Punk,INC; death; sulking; melancholic; sad; somber; passionate; energetic; angry; aggressive; introspective; noisy,,,English,,,,,,,8/2/2024,"Jeff Rosenstock - I'm Serious, I'm Sorry",,10731,2024-08-02 10731,,,,#d9ead3,#000000
✓,Polar Bear or Africa,Jeff Rosenstock,3.3,2015,Power Pop; Pop Punk; Indie Rock,Power Pop; P0p Punk; Indie Rock; Pop Rock; Punk Rock; Alternative Rock,INC; bittersweet; resolute; passionate; melancholic; anthemic; sulking,,,English,,,,,,,8/2/2024,Jeff Rosenstock - Polar Bear or Africa,,10732,2024-08-02 10732,,,,#d9ead3,#000000
✓,Hall of Fame,Jeff Rosenstock,3.3,2015,Power Pop; Pop Punk,Power Pop; P0p Punk; Pop Rock; Punk Rock,INC; sulking; lonely; melancholic; anthemic; passionate; pessimistic; sad; anxious; introspective,,,English,,,,,,,8/2/2024,Jeff Rosenstock - Hall of Fame,,10733,2024-08-02 10733,,,,#d9ead3,#000000
✓,Burnout,Green Day,3.3,1994,Pop Punk; Punk Rock,P0p Punk; Punk Rock,INC; sulking; anthemic; sad; sunny day,,,English,,,,,,,8/2/2024,Green Day - Burnout,,10734,2024-08-02 10734,,,3,#cfe2f3,#7f850a
✓,Longview,Green Day,3.3,1994,Alternative Rock; Punk Rock,Alternative Rock; Punk Rock,INC; sexual; anxious; anthemic; sulking; hot,,,English,,,,,,,8/2/2024,Green Day - Longview,,10735,2024-08-02 10735,,,4,#cfe2f3,#7f850a
✓,Welcome to Paradise,Green Day,3.3,1994,Pop Punk; Punk Rock,P0p Punk; Punk Rock,INC; anthemic; energetic; conscious; adventure; bittersweet; fight song; sunny day,,,English,,,,,,,8/2/2024,Green Day - Welcome to Paradise,,10736,2024-08-02 10736,,,5,#cfe2f3,#7f850a
✓,She,Green Day,3.3,1994,Pop Punk,P0p Punk; Punk Rock,INC; anthemic; conscious; energetic; bittersweet,,,English,,,,,,,8/2/2024,Green Day - She,,10737,2024-08-02 10737,,,6,#cfe2f3,#7f850a
✓,Bellyache,Spanish Love Songs,3.3,2018,Pop Punk; Emo-Pop; Indie Rock; Heartland Rock,P0p Punk; Emo-P0p; Indie Rock; Heartland Rock; Punk Rock; Alternative Rock,INC; sulking; anxious; passionate; angry; anthemic; introspective; lonely; energetic; aggressive,,,English,,,,,,,8/2/2024,Spanish Love Songs - Bellyache,,10738,2024-08-02 10738,,,,#c9daf8,#274e13
✓,Buffalo Buffalo,Spanish Love Songs,3.3,2018,Pop Punk; Emo-Pop,P0p Punk; Emo-P0p; Punk Rock,INC; sulking; lonely; anxious; passionate; introspective; energetic; anthemic; aggressive,,,English,,,,,,,8/2/2024,Spanish Love Songs - Buffalo Buffalo,,10739,2024-08-02 10739,,,,#c9daf8,#274e13
✓,Otis / Carl,Spanish Love Songs,3.3,2018,Pop Punk; Emo-Pop,P0p Punk; Emo-P0p; Punk Rock,INC; death; somber; sulking; lonely; anxious; energetic; passionate; introspective; bittersweet; nostalgic,,,English,,,,,,,8/2/2024,Spanish Love Songs - Otis / Carl,,10740,2024-08-02 10740,,,,#c9daf8,#274e13
✓,Passing Through a Screen Door,Wonder Years,3.4,2013,Pop Punk; Emo-Pop,P0p Punk; Emo-P0p; Punk Rock,INC; passionate; sulking; lonely; anthemic; energetic; pessimistic; anxious; introspective; sad; Summer; fight song; angry,,,English,,,,,,,8/2/2024,Wonder Years - Passing Through a Screen Door,,10741,2024-08-02 10741,,,,#073763,#f6b26b
✓,Dismantling Summer,Wonder Years,3.3,2013,Emo-Pop; Pop Punk,Emo-P0p; P0p Punk; Punk Rock,INC; Summer; passionate; anthemic; melancholic; sad; breakup,,,English,,,,,,,8/2/2024,Wonder Years - Dismantling Summer,,10742,2024-08-02 10742,,,,#073763,#f6b26b
✓,The Devil In My Bloodstream,Wonder Years,3.4,2013,Emo-Pop; Piano Rock,Emo-P0p; Piano Rock; Punk; Pop Rock,INC; sulking; lonely; melancholic; death; pessimistic; passionate; sunset; anthemic; introspective,,,English,,,,,,,8/2/2024,Wonder Years - The Devil In My Bloodstream,,10743,2024-08-02 10743,,,,#073763,#f6b26b
✓,I Just Want to Sell Out My Funeral,Wonder Years,3.4,2013,Emo-Pop; Pop Punk,Emo-P0p; P0p Punk; Punk Rock,INC; anxious; sulking; death; energetic; progressive; melancholic; bittersweet; introspective; passionate; pessimistic; sunset; resolute; Summer,,,English,,,,,,,8/2/2024,Wonder Years - I Just Want to Sell Out My Funeral,,10744,2024-08-02 10744,,,,#073763,#f6b26b
✓,Crayon Angels,Judee Sill,3.4,1971,Chamber Folk; Singer-Songwriter,Chamber Folk; Singer-Songwriter; Contemporary Folk,INC; religious; soft; surreal; relaxation; soothing; poetic; twee; peaceful; calm; uplifting; sparse; pastoral; low energy,,,English,,,,,,,8/3/2024,Judee Sill - Crayon Angels,,10745,2024-08-03 10745,,,,#c3eee4,#000000
✓,The Lamb Ran Away With the Crown,Judee Sill,3.3,1971,Chamber Folk; Singer-Songwriter,Chamber Folk; Singer-Songwriter; Contemporary Folk,INC; religious; soft; sunny day; pastoral; twee,,,English,,,,,,,8/4/2024,Judee Sill - The Lamb Ran Away With the Crown,,10746,2024-08-04 10746,,,,#c3eee4,#000000
✓,Lady-O,Judee Sill,3.3,1971,Chamber Folk; Singer-Songwriter,Chamber Folk; Singer-Songwriter; Contemporary Folk,INC; religious; soft; lush; soothing; peaceful; uplifting; poetic,,,English,,,,,,,8/4/2024,Judee Sill - Lady-O,,10747,2024-08-04 10747,,,,#c3eee4,#000000
✓,Jesus Was a Cross Maker,Judee Sill,3.3,1971,Piano Rock; Singer-Songwriter,Piano Rock; Singer-Songwriter; Pop Rock,INC; religious; poetic; bittersweet; love,,,English,,,,,,,8/4/2024,Judee Sill - Jesus Was a Cross Maker,,10748,2024-08-04 10748,,,,#c3eee4,#000000
✓,Lopin' Along Thru the Cosmos,Judee Sill,3.4,1971,Chamber Folk; Singer-Songwriter,Chamber Folk; Singer-Songwriter; Contemporary Folk,INC; soft; soothing; late night; poetic; religious; space; twee; lush; peaceful; relaxation,,,English,,,,,,,8/4/2024,Judee Sill - Lopin' Along Thru the Cosmos,,10749,2024-08-04 10749,,,,#c3eee4,#000000
✓,Island in the Sun,Weezer,3.5,2001,Alternative Rock; Pop Rock,Alternative Rock; Pop Rock,INC; Summer; twee; sunny day; fun; tropical; happy; peaceful; uplifting; optimistic; celebration; soft; relaxation; triumphant,,,English,,,,,,,8/4/2024,Weezer - Island in the Sun,,10750,2024-08-04 10750,,,1,#c9d12c,#000000
✓,Soldier of the Heart,Judee Sill,3.4,1973,Country Gospel; Singer-Songwriter; Soft Rock,Country Gospel; Singer-Songwriter; Soft Rock; Traditional Country; American Folk Music; Traditional Folk; Northern American Music; Regional Music; Pop Rock,INC; energetic; love; fight song; resolute; uplifting; fun; celebration; triumphant; uplifting; optimistic; passionate,,,English,,,,,,,8/4/2024,Judee Sill - Soldier of the Heart,,10751,2024-08-04 10751,,,,#000000,#22a4e2
✓,The Donor,Judee Sill,3.4,1973,Chamber Music; Singer-Songwriter,Chamber Music; Singer-Songwriter; Western Classical,INC; epic; religious; passionate; lush; poetic; night; surreal; progressive,,,English,,,,,,,8/5/2024,Judee Sill - The Donor,,10752,2024-08-05 10752,,,,#000000,#22a4e2
✓,The Fall,Rhye,3.3,2012,Sophisti-Pop; Alternative R&B; Smooth Soul,Sophisti-Pop; Alternative R&B; Smooth Soul; Contemporary R&B,INC; luxurious; diamond; lush; soft; soothing; relaxation; bittersweet; urban night; sunset,,,English,,,,,,,8/5/2024,Rhye - The Fall,,10753,2024-08-05 10753,,,,#45818e,#efefef
✓,Fishing for Fishies,King Gizzard & The Lizard Wizard,3.4,2019,Psychedelic Pop; Neo-Psychedelia,Psychedelic Pop; Neo-Psychedelia,INC; aquatic; fun; quirky; nature; lush; surreal; conscious; soft; sunny day; Summer,,,English,,,,,,,8/5/2024,King Gizzard & The Lizard Wizard - Fishing for Fishies,,10754,2024-08-05 10754,,,,#02a8bf,#ffd700
✓,Boogieman Sam,King Gizzard & The Lizard Wizard,3.3,2019,Boogie Rock; Psychedelic Rock; Glam Rock,B00gie Rock; Psychedelic Rock; Glam Rock; Bl–es Rock,INC; fun; energetic; fight song; Halloween; quirky; crime,,,English,,,,,,,8/5/2024,King Gizzard & The Lizard Wizard - Boogieman Sam,,10755,2024-08-05 10755,,,,#02a8bf,#ffd700
✓,This Thing,King Gizzard & The Lizard Wizard,3.3,2019,Glam Rock; Art Rock; Blues Rock,Glam Rock; Art Rock; Bl–es Rock,INC; fun; energetic; bittersweet; catchy,,,English,,,,,,,8/5/2024,King Gizzard & The Lizard Wizard - This Thing,,10756,2024-08-05 10756,,,,#02a8bf,#ffd700
✓,The Baddest (Badder),Joey Valence & Brae; ft. Ayesha Erotica,3.8,2024,Miami Bass; East Coast Hip Hop,Miami Bass; East Coast Hip Hop; Dance; Scenes & Movements,party; boastful; anthemic; sexual; fun; energetic 100; fight song; catchy; quirky; humorous; aggressive; passionate; triumphant; celebration,,,English,,,,,,,8/8/2024,Joey Valence & Brae; ft. Ayesha Erotica - The Baddest (Badder),,10757,2024-08-08 10757,,,,#1155cc,#ffd966
✓,Guess featuring Billie Eilish,Charli XCX; ft. Billie Eilish,3.5,2024,Electro House; Tech House,Electro House; Tech House; EDM; Dance; Electronic,INC; sexual; LGBT; fun; party; mechanical; noisy; dense; catchy,,,English,,,"Rare case of ""featuring"" being left in the title because it seems to be part of the naming convention of the singles",,,,8/8/2024,Charli XCX; ft. Billie Eilish - Guess featuring Billie Eilish,,10758,2024-08-08 10758,,,,#434343,#efefef
✓,Lullaby,Ichiko Aoba,3.8,2024,Chamber Folk; Singer-Songwriter,Chamber Folk; Singer-Songwriter; Contemporary Folk,INC; ethereal; soothing; peaceful; soft; relaxation; low energy; calm; sparse; sedated; morning; late night; poetic,,,Japanese,,青葉市子,,,$-bandcamp,,8/8/2024,Ichiko Aoba - Lullaby,,10759,2024-08-08 10759,,,,#2096ce,#00ffba
✓,Right Kind of Dream,Johnny Blue Skies,3.3,2024,Heartland Rock; Soft Rock; Country Soul,Heartland Rock; Soft Rock; C0untry Soul; Pop Rock; R&B,INC; bittersweet; nostalgic; soft; lush; sunset,,,English,,,"Seen live; Johnny Blue Skies and Sturgill Simpson are the same. In code, try to account for special cases like these",,,Mx: Gold Ranch,8/8/2024,Johnny Blue Skies - Right Kind of Dream,,10760,2024-08-08 10760,,,,#658071,#d5ce9b
✓,Angel of My Dreams,JADE,3.6,2024,Electropop; Dance-Pop,Electropop; Dance-Pop; Electronic,INC; bittersweet; progressive; epic; party; ethereal; night; energetic; conscious,,,English,,,,,,,8/8/2024,JADE - Angel of My Dreams,,10761,2024-08-08 10761,,,,#666666,#ffff00
✓,Painless,Parannoul,3.3,2024,Shoegaze; Noise Pop,Shoegaze; N0ise P0p; Alternative Rock; Indie Rock,INC; dense; noisy; ethereal; heavy; lush; sunset; bittersweet; uplifting; passionate,,,Korean,고통없이,파란노을,,,,,8/8/2024,Parannoul - Painless,,10762,2024-08-08 10762,,,,#ffe599,#000000
✓,Flash in the Pan,Jane Remover,3.3,2024,Emo Rap; Alternative R&B,Em0 Rap; Alternative R&B; Hip Hop; Contemporary R&B,INC; ethereal; urban; bittersweet,,,English,,,,,,,8/8/2024,Jane Remover - Flash in the Pan,,10763,2024-08-08 10763,,,,#000000,#e69138
✓,Dream Sequence,Jane Remover,3.3,2024,Dream Pop; Indie Rock,Dream P0p; Indie Rock; Alternative Rock,INC; sedated; surreal; ethereal; dense; noisy; bittersweet; breakup; heavy; sulking,,,English,,,,,,,8/8/2024,Jane Remover - Dream Sequence,,10764,2024-08-08 10764,,,,#000000,#e69138
✓,I Keep Forgettin' (Everytime You're Near),Michael McDonald,3.4,1982,Yacht Rock; Blue-Eyed Soul,Yacht Rock; Blue-Eyed S0ul; Soft Rock; Pop Rock,INC; lush; luxurious; diamond; breakup; soft; passionate; bittersweet; sunset,,,English,,,,,,,8/8/2024,Michael McDonald - I Keep Forgettin' (Everytime You're Near),,10765,2024-08-08 10765,,,,#666666,#fff2cc
✓,Joker Lips,MJ Lenderman,3.3,2024,Alt-Country; Singer-Songwriter,Alt-Country; Singer-Songwriter; Northern American Music; Regional Music,INC; quirky; sunny day; soft; relaxation,,,English,,,,,,,8/8/2024,MJ Lenderman - Joker Lips,,10766,2024-08-08 10766,,,,#134f5c,#ff9900
✓,Traveling,Hikaru Utada,3.4,2001,J-Pop; Dance-Pop; Deep House,J-Pop; Dance-Pop; Deep House; Scenes & Movements; EDM; Electronic,INC; lush; fun; urban night; party; celebration; uplifting; energetic; adventure; happy,,,Japanese,,宇多田ヒカル,,,,,8/8/2024,Hikaru Utada - Traveling,,10767,2024-08-08 10767,,,2,#990000,#ffd7ec
✓,Overture,AJR,3.4,2017,Electropop,Electropop; Electronic; Pop,INC; fun; catchy; energetic; party; Summer; anthemic,,,English,,,,,,,8/8/2024,AJR - Overture,,10768,2024-08-08 10768,,,,#741b47,#ffd966
✓,Life Itself,Glass Animals,3.3,2016,Indietronica; Indie Pop; Alt-Pop,Indietronica; Indie Pop; Alt-Pop; Electronic,INC; anthemic; catchy; Summer; dense; sulking; quirky,,,English,,,,,,,8/8/2024,Glass Animals - Life Itself,,10769,2024-08-08 10769,,,,#ff9900,#000000
✓,Kiss of Life,Nujabes; ft. Giovanca; ft. Benny Sings,3.5,2009,Neo-Soul,Neo-Soul; R&B,INC; luxurious; lush; love; sensual; soft; relaxation; soothing; calm; happy; peaceful; night; late night; ballad; passionate; low energy,,,English,,,,,,,8/8/2024,Nujabes; ft. Giovanca; ft. Benny Sings - Kiss of Life,,10770,2024-08-08 10770,,,1,#b45f06,#ffe599
✓,What Color Is Love,Terry Callier,3.3,1972,Chicago Soul,Chicago Soul; R&B,INC; lush; love; poetic; philosophical; ethereal; soft; soothing,,,English,,,,,,,8/8/2024,Terry Callier - What Color Is Love,,10771,2024-08-08 10771,,,,#408e52,#9ed7ff
✓,You Goin' Miss Your Candyman,Terry Callier,3.5,1972,Chicago Soul; Progressive Folk; Soul Blues,Chicago Soul; Progressive Folk; S0ul Blues; R&B; Contemporary Folk,INC; passionate; Autumn; poetic; lush; epic; fight song; energetic,,,English,,,,,,,8/8/2024,Terry Callier - You Goin' Miss Your Candyman,,10772,2024-08-08 10772,,,,#408e52,#9ed7ff
